epoch,acc,loss,val_acc,val_loss
0,0.8636666666666667,0.42810178418954214,0.882,0.3633285462856293
1,0.947,0.1703134875794252,0.915,0.255607901096344
2,0.9676666666666667,0.10859396539628506,0.936,0.20444082939624786
3,0.9771666666666666,0.07624723935686052,0.915,0.32396785001456735
4,0.9758333333333333,0.07539207574725151,0.921,0.3144886847734451
5,0.9838333333333333,0.05754983893370566,0.933,0.27546290738880636
6,0.9918333333333333,0.027054680784562756,0.948,0.2073151140138507
7,0.9885,0.0448197379320239,0.933,0.3039114618301392
8,0.9818333333333333,0.0667456272712443,0.94,0.26586677580326795
9,0.9895,0.03956559099330722,0.934,0.3431583471223712
10,0.9845,0.057055579557316376,0.951,0.2608280419372022
11,0.9856666666666667,0.053501648686088935,0.943,0.22748979116789997
12,0.9923333333333333,0.02764148142406096,0.949,0.24650200861692428
13,0.9973333333333333,0.008691685796699555,0.947,0.286227890715003
14,0.9885,0.039214433126620256,0.937,0.32136910884082315
15,0.9946666666666667,0.01832672730658305,0.959,0.18731728596193717
16,0.9996666666666667,0.0007259018077817624,0.951,0.233511680648895
17,1.0,0.0004799331370627442,0.957,0.2441355577709619
18,0.9981666666666666,0.007025763380857749,0.937,0.34386580165533814
19,0.9898333333333333,0.04320309413605476,0.938,0.3285918711423874
20,0.985,0.062129347093309965,0.924,0.3899826768562198
21,0.9936666666666667,0.033466525814627855,0.937,0.3108477982096374
22,0.996,0.021409438487173853,0.946,0.24856444470584393
23,0.9976666666666667,0.011945194523735912,0.951,0.2661982922860188
24,0.9996666666666667,0.0008265888631440248,0.952,0.26934604212769775
25,1.0,7.377212452479398e-05,0.952,0.26512439510336844
26,1.0,2.9042693531816138e-05,0.952,0.2651512244151454
27,1.0,1.935735894297371e-05,0.953,0.2659821322953139
28,1.0,1.3625056061376503e-05,0.953,0.2669558417188091
29,1.0,1.0107944181678856e-05,0.954,0.268436537603935
