epoch	acc	loss	val_acc	val_loss	
0	0,7576666668256123	0,7955339214801789	0,85	0,5186757757663727
1	0,9149999998410543	0,3117441657781601	0,89	0,37135113644599915
2	0,9360000001589457	0,22771824691196282	0,869	0,5305887637138367
3	0,9586666666666667	0,1654461100200812	0,913	0,337389706492424
4	0,9629999998410543	0,13311060499027372	0,842	0,5915700964927674
5	0,9626666665077209	0,14899633117641012	0,885	0,5227565990686417
6	0,9596666668256124	0,14588077673564354	0,879	0,4975855559110641
7	0,9726666665077209	0,10961203940290337	0,932	0,30510727208852767
8	0,972	0,11848223618293802	0,906	0,4373853936195374
9	0,9763333333333334	0,09968882076628506	0,913	0,4619114880859852
10	0,9803333331743876	0,07942169295693748	0,923	0,3940297201871872
11	0,9836666666666667	0,058402310988574756	0,931	0,37362196350097654
12	0,987	0,06380784221680369	0,928	0,46759904190897944
13	0,99	0,043159271503585235	0,91	0,5334772023111581
14	0,9909999998410542	0,0496696023264764	0,934	0,48545070938766005
15	0,9866666666666667	0,08496468583182044	0,915	0,5739755671005696
16	0,992	0,03949312423239727	0,933	0,4939542081747204
17	0,9919999998410542	0,050606146982698795	0,914	0,6005613234750926
18	0,986	0,06613833414708885	0,917	0,6335262932777405
19	0,9646666666666667	0,22114759070076132	0,898	0,6625939753055573
20	0,9766666666666667	0,09469550911430269	0,925	0,3809146686270833
21	0,9863333333333333	0,08523532295801245	0,922	0,5426855767518282
22	0,9836666665077209	0,07981304922157627	0,937	0,3500137663185596
23	0,9929999998410542	0,03472601040958155	0,929	0,45139512478932736
24	0,9903333333333333	0,07917533204630202	0,929	0,44436534187942744
25	0,9769999998410542	0,1353684160968502	0,901	0,43989210949279367
26	0,988	0,0544123497557448	0,887	0,85357894718647
27	0,984333333492279	0,09323952522257727	0,907	0,77841157913208
28	0,992	0,06290201279780983	0,918	0,610798391061835
29	0,9986666666666667	0,01359487574181594	0,926	0,6538136196597844
30	0,998	0,009857303031320725	0,922	0,6044443995877955
31	0,999	0,0035427108518268826	0,922	0,6302117889830224
32	0,9993333333333333	0,00219976707991979	0,928	0,5943829382266959
33	1,0	0,000679740277197349	0,927	0,6074621103464833
34	1,0	0,0004697623174141275	0,927	0,622579910965328
35	1,0	0,0001817619131416374	0,925	0,6384000069511876
36	1,0	8,772063290659086e-06	0,925	0,6478932569021454
37	1,0	4,456640322359817e-06	0,925	0,6549431672498786
38	1,0	2,8669236955162582e-06	0,925	0,6615691329959936
39	1,0	2,011394316468795e-06	0,925	0,6665428908265398
40	1,0	1,6257490254550551e-06	0,925	0,6713732330881985
41	1,0	1,3525381303907124e-06	0,925	0,6758566281432732
42	1,0	1,1554083569459787e-06	0,926	0,6799732284701177
43	1,0	9,962516695244023e-07	0,926	0,6838692957158532
44	1,0	8,696010665213786e-07	0,926	0,6874956252123888
45	1,0	7,708963289587701e-07	0,926	0,6909517841114252
46	1,0	6,884699925346164e-07	0,926	0,6944338351945557
47	1,0	6,158807573607798e-07	0,926	0,6975847906116905
48	1,0	5,56110431716661e-07	0,926	0,7009391604965076
49	1,0	5,066341236291312e-07	0,926	0,704254854918152
