epoch	acc	loss	val_acc	val_loss	
0	0,8299999998410543	0,5658141748507818	0,882	0,36376186513900755
1	0,9446666666666667	0,18390142999092737	0,887	0,3407953476905823
2	0,969	0,10426157568395138	0,913	0,25923636293411256
3	0,984	0,0632972865353028	0,913	0,28334106689691546
4	0,992	0,032866314951330425	0,916	0,2634448922872543
5	0,9949999998410543	0,020569220321563383	0,922	0,28036969128251077
6	0,9956666666666667	0,01586982698800663	0,914	0,3505416362434626
7	0,9936666666666667	0,018940134108687442	0,924	0,2705920669734478
8	0,999	0,004759324198278288	0,907	0,33443048045039175
9	0,9993333333333333	0,0019997600233958414	0,924	0,29048699954524637
10	1,0	0,0005004928461275995	0,923	0,2956632392965257
11	1,0	0,0003341964950862651	0,926	0,29745093279331924
12	1,0	0,00026655261246681525	0,926	0,29981779102981093
13	1,0	0,0002221146664620998	0,926	0,30348817985132337
14	1,0	0,00018894271878525614	0,926	0,3065486804693937
15	1,0	0,00016259245430895437	0,927	0,30934784713760016
16	1,0	0,00014316627750910507	0,925	0,3116673240624368
17	1,0	0,00012722573063607949	0,925	0,3143157964590937
18	1,0	0,0001136633046650483	0,925	0,3160484745576978
19	1,0	0,00010190839153559258	0,925	0,3185076665468514
20	1,0	9,210384476076191e-05	0,926	0,32054395608231423
21	1,0	8,369964144852323e-05	0,925	0,3223344683665782
22	1,0	7,644429956174766e-05	0,925	0,32418837503436954
23	1,0	6,981072455528193e-05	0,925	0,32612542870175093
24	1,0	6,399693528267866e-05	0,925	0,32762474424391985
25	1,0	5,874440595895673e-05	0,926	0,32975672445911913
26	1,0	5,422147726252054e-05	0,926	0,331184530380182
27	1,0	5,033285750929887e-05	0,926	0,33261497322563083
28	1,0	4,6411729068495334e-05	0,926	0,33444509521033616
29	1,0	4,311728062748443e-05	0,925	0,3358867004495114
30	1,0	3,9890666407397173e-05	0,926	0,33768910348042847
31	1,0	3,71083445691814e-05	0,926	0,33891478438396005
32	1,0	3,4542333345598306e-05	0,927	0,34050521826557817
33	1,0	3,2299702050901636e-05	0,927	0,34193449837155643
34	1,0	3,004035290086904e-05	0,926	0,34358873369265347
35	1,0	2,8009251999416545e-05	0,926	0,34507218412682417
36	1,0	2,6160949579207228e-05	0,926	0,34635919668199494
37	1,0	2,443396652233787e-05	0,926	0,347802952746395
38	1,0	2,2918269023648464e-05	0,926	0,3495188922369853
39	1,0	2,139199626011153e-05	0,926	0,3507460624068044
40	1,0	2,0075345385218195e-05	0,927	0,35231521462230014
41	1,0	1,8737899968982676e-05	0,926	0,3535163937928155
42	1,0	1,7603886568394955e-05	0,926	0,35482661161292345
43	1,0	1,6555857832524148e-05	0,926	0,3563084922479466
44	1,0	1,5464000731299166e-05	0,927	0,3575518280658871
45	1,0	1,4517070070724003e-05	0,927	0,3590325179165229
46	1,0	1,3647880800514637e-05	0,926	0,3602428666865453
47	1,0	1,2835674373491201e-05	0,927	0,36129089452000335
48	1,0	1,205084093453479e-05	0,927	0,3621991559714079
49	1,0	1,133087288568883e-05	0,927	0,3639678706373088
