epoch	acc	loss	val_acc	val_loss
0	0,8316666668256124	0,5780496982733409	0,87	0,3915203356742859
1	0,9373333333333334	0,1994012154142062	0,895	0,3353629443645477
2	0,9706666666666667	0,09832686532537142	0,919	0,2692147215604782
3	0,986	0,04648970043783387	0,913	0,2558317428827286
4	0,9933333333333333	0,0266588135274748	0,928	0,27138958567380905
5	0,9973333333333333	0,011000265803808968	0,927	0,2649131951332092
6	0,9956666666666667	0,013682285292074084	0,918	0,32199993363022805
7	0,994	0,022154556667432188	0,919	0,3153971448540688
8	0,9906666666666667	0,029947548567006984	0,903	0,34437988716363904
9	0,9913333333333333	0,023721775903676946	0,931	0,2912060375064611
10	0,992666666507721	0,01799737280063952	0,926	0,30962142483890054
11	0,989	0,032754766789109754	0,911	0,3603033871948719
12	0,9873333331743877	0,04335105913846443	0,917	0,3148681491464376
13	0,992666666507721	0,025958841934489708	0,921	0,37081259866058824
14	0,9966666666666667	0,012291872059790572	0,922	0,33710605701804164
15	0,999	0,0033376143732651445	0,922	0,38733393770456315
16	0,996	0,010469609981393053	0,916	0,4205504399612546
17	0,9943333333333333	0,030934465568803717	0,92	0,3812990724593401
18	0,991	0,021708783448829004	0,908	0,49755783641152085
19	0,9859999998410542	0,057757961640444895	0,923	0,381607140623033
20	0,991666666507721	0,02181927980676604	0,921	0,3665452511012554
21	0,996	0,011679071255377494	0,929	0,37887383877299724
22	1,0	0,0007295962633846405	0,934	0,3356829115790315
23	1,0	0,00013694772637366743	0,932	0,3322498645209707
24	1,0	8,93012975526896e-05	0,934	0,33243781035766007
25	1,0	7,397470777505077e-05	0,934	0,3328167076506652
26	1,0	6,366475514611618e-05	0,935	0,33353390980698167
27	1,0	5,589045880818351e-05	0,935	0,33388276741583833
28	1,0	4,969967648745903e-05	0,935	0,3350453936101403
29	1,0	4,469673996512332e-05	0,935	0,3355800485801883
