epoch,acc,loss,val_acc,val_loss
0,0.94525,0.17775719930026682,0.9696,0.09095507790080737
1,0.9754,0.07988679944259736,0.9741,0.08852614033243153
2,0.9822666666666666,0.05555212129393282,0.9809,0.062286073399358426
3,0.98625,0.04272215874785713,0.9717,0.09956830810955143
4,0.9881,0.03620152939510784,0.981,0.0728332976320431
5,0.99085,0.028783850416602703,0.9774,0.08942191792854101
6,0.99155,0.02730283892339345,0.9789,0.0890134097442744
7,0.9932166666666666,0.022020310576085937,0.9778,0.10178750597872495
8,0.9935666666666667,0.02130720046418171,0.9795,0.0980367291191596
9,0.9943666666666666,0.017974266243775076,0.9801,0.10286734781109412
10,0.9946333333333334,0.018949349961293358,0.9811,0.08969305291216792
11,0.99485,0.01844251914229288,0.9827,0.0888753850420845
12,0.9951,0.017460437495633203,0.982,0.10347332734772413
13,0.9960166666666667,0.015348404861366127,0.9817,0.11789475494649648
14,0.99615,0.015515098384049035,0.9784,0.13942347891358003
15,0.99585,0.015338622989288364,0.9838,0.10335378488350648
16,0.9968166666666667,0.012699272602549255,0.981,0.1135824272724402
17,0.9961333333333333,0.015945212574841806,0.9809,0.11264495294789086
18,0.9967166666666667,0.014156925682881023,0.9827,0.11540773064036434
19,0.99595,0.01820544935103982,0.9801,0.13188237976564005
20,0.9968166666666667,0.014282249124246913,0.9824,0.1289047892229752
21,0.997,0.01366441265108928,0.9779,0.17518422469476672
22,0.9971833333333333,0.013500866311684921,0.9791,0.12974282584003427
23,0.9972166666666666,0.012347343854019702,0.9791,0.16433544639649236
24,0.9972,0.013911318132042024,0.9804,0.14315241306804433
25,0.9976666666666667,0.01140565403335448,0.9829,0.1263904500969477
26,0.9967666666666667,0.015813493965238165,0.981,0.14009739477108418
27,0.9972833333333333,0.01280321249858887,0.9825,0.12247280561471248
28,0.9975,0.01260306464718298,0.9824,0.1414638428661387
29,0.9975833333333334,0.013198669561776887,0.9847,0.12888400143142317
30,0.9974,0.01325118545823193,0.9816,0.16854784820627605
31,0.9969833333333333,0.017489614213081744,0.9832,0.12792515820605463
32,0.9985666666666667,0.007573316263177761,0.9798,0.17680430476637415
33,0.9973166666666666,0.016160363412292017,0.9784,0.20061713802674022
34,0.9976,0.01339265159220134,0.983,0.15615661756982208
35,0.9975166666666667,0.012612627384864869,0.9829,0.16219977824041107
36,0.9979166666666667,0.011260491201740138,0.9814,0.15509049400195413
37,0.998,0.011897933493550917,0.9833,0.1571849559655454
38,0.9972,0.014746485430046679,0.9844,0.14716745171232037
39,0.9984666666666666,0.009335777736793617,0.983,0.1545053831942
40,0.99785,0.013206174643376017,0.9824,0.16982942464336975
41,0.9970333333333333,0.017861772530479176,0.9811,0.20080979818807404
42,0.9976166666666667,0.015340655539639276,0.9812,0.19949418910492958
43,0.9981,0.011977251871182587,0.9807,0.19746352800195938
44,0.9974833333333334,0.01701192457571926,0.9817,0.19394114564434017
45,0.9984333333333333,0.01122359204315391,0.9816,0.1791373450219327
46,0.9980166666666667,0.013911890606083626,0.982,0.20224193329616852
47,0.9976833333333334,0.01787032343644498,0.9824,0.1775855527233684
48,0.9979,0.013992462118723611,0.9806,0.20095268406732675
49,0.9981,0.01311845957925065,0.982,0.17798174506527042
