
18000,3000,0.004,4,0.633
18000,3000,0.004,8,0.50833
18000,3000,0.004,12,0.47167
18000,3000,0.004,16,0.47233
18000,3000,0.004,20,0.47167
18000,3000,0.004,24,0.469
18000,3000,0.004,28,0.47333
18000,3000,0.004,32,0.47033
18000,3000,0.004,36,0.47033
18000,3000,0.004,40,0.47433
18000,3000,0.004,44,0.47667
18000,3000,0.004,48,0.484
18000,3000,0.004,52,0.486
18000,3000,0.004,56,0.48967
18000,3000,0.004,60,0.497
18000,3000,0.004,64,0.50433
18000,3000,0.004,68,0.50967
18000,3000,0.004,72,0.51733
18000,3000,0.004,76,0.52433
18000,3000,0.004,80,0.53033
18000,3000,0.004,84,0.53333
18000,3000,0.004,88,0.53833
18000,3000,0.004,92,0.54533
18000,3000,0.004,96,0.55367
18000,3000,0.004,100,0.55867
18000,3000,0.004,104,0.565
18000,3000,0.004,108,0.568
18000,3000,0.004,112,0.56833
18000,3000,0.004,116,0.57333
18000,3000,0.004,120,0.577
18000,3000,0.004,124,0.58267
18000,3000,0.004,128,0.58733
18000,3000,0.004,132,0.593
18000,3000,0.004,136,0.602
18000,3000,0.004,140,0.60767
18000,3000,0.004,144,0.614
18000,3000,0.004,148,0.61667
18000,3000,0.004,152,0.62267
18000,3000,0.004,156,0.62533
18000,3000,0.004,160,0.628
18000,3000,0.004,164,0.63233
18000,3000,0.004,168,0.63633
18000,3000,0.004,172,0.64067
18000,3000,0.004,176,0.64233
18000,3000,0.004,180,0.64833
18000,3000,0.004,184,0.65033
18000,3000,0.004,188,0.65533
18000,3000,0.004,192,0.65433
18000,3000,0.004,196,0.65633
18000,3000,0.004,200,0.65967
